Chromosome	Start	End	Strand	Gene	Transcription_Start_Site	Transcript_type
chr23	1197387	1237715	-	NKAIN1	1197387	
chr23	1241289	1264251	-	SNRNP40	1241289	
chr23	1264493	1282977	+	ZCCHC17	1264493	protein_coding
chr23	1283689	1287283	-	FABP3	1283689	protein_coding
chr23	1292687	1294362	-	LOC116184426	1292687	
chr23	1320141	1334342	+	SERINC2	1320141	protein_coding
chr23	1337503	1339683	+	LOC116184431	1337503	lncRNA
chr23	1472066	1792371	+	HIVEP3	1472066	
chr23	1758736	1769806	-	LOC116184429	1758736	lncRNA
chr23	1836598	1842138	+	EDN2	1836598	
chr23	2196752	2233555	-	FOXO6	2196752	
chr23	2349536	2410212	+	SCMH1	2349536	protein_coding
chr23	2411006	2428071	-	CTPS1	2411006	protein_coding
chr23	2525743	2526134	-	LOC116184433	2525743	lncRNA
chr23	2603516	2605469	+	CITED4	2603516	protein_coding
chr23	2611562	2632926	+	STX12	2611562	protein_coding
chr23	2635050	2652512	+	PPP1R8	2635050	protein_coding
chr23	2644300	2644463	+	transcript_id XR_004149211.1	2644300	product small Cajal body-specific RNA 1;
chr23	2653993	2660796	-	SMPDL3B	2653993	protein_coding
chr23	2661007	2665299	+	RPA2	2661007	protein_coding
chr23	2666854	2670318	+	XKR8	2666854	protein_coding
chr23	2671247	2716545	-	EYA3	2671247	protein_coding
chr23	2719833	2724565	-	PTAFR	2719833	protein_coding
chr23	2730275	2740514	-	DNAJC8	2730275	protein_coding
chr23	2740872	2741667	+	ATP5IF1	2740872	protein_coding
chr23	2746218	2777454	+	HNRNPR	2746218	
chr23	2779598	2784046	+	LOC110484304	2779598	lncRNA
chr23	2810545	2825640	+	HTR1D	2810545	
chr23	2827265	2859165	+	LUZP1	2827265	protein_coding
chr23	2859862	2887865	-	KDM1A	2859862	protein_coding
chr23	2889873	2902781	-	ZMPSTE24	2889873	protein_coding
chr23	2903060	2904087	-	LOC110484270	2903060	protein_coding
chr23	2906992	2947074	-	RLF	2906992	protein_coding
chr23	2947654	2949848	+	LOC110484246	2947654	lncRNA
chr23	2965326	2966858	+	GJA9	2965326	protein_coding
chr23	2970374	2976837	+	MYCBP	2970374	
chr23	2978588	2994000	+	RRAGC	2978588	
chr23	3182061	3183176	+	POU3F1	3182061	protein_coding
chr23	3212615	3218193	-	UTP11	3212615	protein_coding
chr23	3218520	3243432	+	FHL3	3218520	protein_coding
chr23	3247262	3253830	+	SF3A3	3247262	protein_coding
chr23	3255407	3256894	+	LOC110484306	3255407	lncRNA
chr23	3262426	3278395	+	INPP5B	3262426	protein_coding
chr23	3278701	3295265	+	MTF1	3278701	
chr23	3298923	3302653	+	YRDC	3298923	protein_coding
chr23	3333586	3365297	+	EPHA10	3333586	
chr23	3378210	3382820	-	CDCA8	3378210	protein_coding
chr23	3383778	3398541	+	C23H1orf109	3383778	
chr23	3455876	3471704	+	RSPO1	3455876	
chr23	3476505	3487522	+	GNL2	3476505	protein_coding
chr23	3488263	3494312	-	DNALI1	3488263	protein_coding
chr23	3494440	3499361	+	SNIP1	3494440	protein_coding
chr23	3498403	3502572	-	PTGER3	3498403	protein_coding
chr23	3506821	3513486	+	MEAF6	3506821	protein_coding
chr23	3521106	3529296	-	ZC3H12A	3521106	protein_coding
chr23	3640330	3767277	+	GRIK3	3640330	
chr23	3934874	3941467	+	CSF3R	3934874	protein_coding
chr23	3942221	3950516	+	MRPS15	3942221	protein_coding
chr23	3952158	3965437	+	OSCP1	3952158	protein_coding
chr23	3965930	3968062	+	LSM10	3965930	protein_coding
chr23	3969770	3991446	+	STK40	3969770	protein_coding
chr23	3991926	3994318	+	EVA1B	3991926	protein_coding
chr23	3998297	4024847	-	THRAP3	3998297	protein_coding
chr23	4025454	4041644	-	MAP7D1	4025454	protein_coding
chr23	4044337	4048927	-	LOC110484254	4044337	protein_coding
chr23	4050881	4057898	+	TRAPPC3	4050881	protein_coding
chr23	4096598	4105850	+	COL8A2	4096598	protein_coding
chr23	4104065	4112363	-	ADPRS	4104065	protein_coding
chr23	4112738	4117687	-	TEKT2	4112738	protein_coding
chr23	4119883	4155023	-	AGO3	4119883	protein_coding
chr23	4157630	4180476	-	LOC110484315	4157630	protein_coding
chr23	4182119	4197160	-	AGO4	4182119	protein_coding
chr23	4203137	4216984	+	CLSPN	4203137	
chr23	4236580	4238844	+	C23H1orf216	4236580	protein_coding
chr23	4267514	4280839	+	PSMB2	4267514	
chr23	4290494	4311940	-	TFAP2E	4290494	protein_coding
chr23	4317860	4322423	-	NCDN	4317860	protein_coding
chr23	4322770	4353034	+	KIAA0319L	4322770	
chr23	4361594	4363220	+	LOC110484266	4361594	lncRNA
chr23	4373473	4417635	-	ZMYM4	4373473	
chr23	4429365	4444863	+	SFPQ	4429365	
chr23	4446665	4448220	+	TMEM35B	4446665	protein_coding
chr23	4450152	4451917	+	LOC110484279	4450152	
chr23	4454453	4482838	+	DLGAP3	4454453	
chr23	4485138	4486090	+	SMIM12	4485138	protein_coding
chr23	4498935	4501923	-	GJA4	4498935	
chr23	4504211	4504996	-	GJB3	4504211	protein_coding
chr23	4511603	4512431	-	LOC110484292	4511603	protein_coding
chr23	4751934	5057514	+	CSMD2	4751934	protein_coding
chr23	5065548	5090383	-	COL9A2	5065548	protein_coding
chr23	5092062	5123350	+	SMAP2	5092062	
chr23	5115919	5137000	-	RIMS3	5115919	
chr23	5178629	5196667	+	NFYC	5178629	
chr23	5200521	5220855	+	KCNQ4	5200521	protein_coding
chr23	5236911	5240658	+	ID3	5236911	
chr23	5238445	5241483	-	LOC110472900	5238445	protein_coding
chr23	5245367	5252550	+	E2F2	5245367	protein_coding
chr23	5255985	5273369	+	ASAP3	5255985	protein_coding
chr23	5274208	5283696	+	TCEA3	5274208	
chr23	5293453	5303815	+	OPRD1	5293453	protein_coding
chr23	5307385	5316807	-	RCC1	5307385	protein_coding
chr23	5316187	5316391	-	LOC116184437	5316187	snoRNA
chr23	5317056	5373571	-	PHACTR4	5317056	protein_coding
chr23	5375339	5381055	-	SESN2	5375339	
chr23	5383516	5384339	+	LOC116184428	5383516	lncRNA
chr23	5384738	5398708	-	FAM76A	5384738	
chr23	5399504	5400626	+	LOC116184434	5399504	lncRNA
chr23	5405020	5410847	-	LOC110472903	5405020	protein_coding
chr23	5412179	5422585	+	FGR	5412179	
chr23	5428850	5477939	+	AHDC1	5428850	protein_coding
chr23	5478027	5480575	+	LOC110472880	5478027	lncRNA
chr23	5489973	5528514	+	WASF2	5489973	
chr23	5521869	5529834	-	GPR3	5521869	
chr23	5531634	5536592	+	CD164L2	5531634	protein_coding
chr23	5536999	5540713	-	SYTL1	5536999	protein_coding
chr23	5545784	5552310	-	TMEM222	5545784	protein_coding
chr23	5557220	5582700	-	WDTC1	5557220	
chr23	5586390	5612240	+	SLC9A1	5586390	protein_coding
chr23	5621512	5626518	+	TENT5B	5621512	
chr23	5649577	5654435	+	KDF1	5649577	
chr23	5657553	5665382	-	NUDC	5657553	protein_coding
chr23	5666286	5668276	+	NR0B2	5666286	protein_coding
chr23	5669205	5674378	+	GPATCH3	5669205	protein_coding
chr23	5676449	5680642	+	GPN2	5676449	protein_coding
chr23	5684946	5685908	-	SFN	5684946	protein_coding
chr23	5688321	5699838	-	ZDHHC18	5688321	
chr23	5700677	5702797	-	PIGV	5700677	protein_coding
chr23	5703010	5705989	-	LOC116184425	5703010	lncRNA
chr23	5707813	5761413	-	ARID1A	5707813	
chr23	5766971	5778949	-	LOC110472885	5766971	lncRNA
chr23	5791818	5824367	-	RPS6KA1	5791818	protein_coding
chr23	5836772	5840248	-	HMGN2	5836772	protein_coding
chr23	5841937	5851684	-	DHDDS	5841937	protein_coding
chr23	5856743	5868069	-	LIN28A	5856743	protein_coding
chr23	5879056	5884014	+	CRYBG2	5879056	protein_coding
chr23	5899353	5901085	-	SH3BGRL3	5899353	protein_coding
chr23	5902031	5912876	-	CEP85	5902031	protein_coding
chr23	5914572	5920959	-	CNKSR1	5914572	protein_coding
chr23	5923273	5924505	-	ZNF593	5923273	protein_coding
chr23	5925912	5926803	+	C23H1orf232	5925912	protein_coding
chr23	5927002	5928710	-	FAM110D	5927002	
chr23	5932296	5940050	-	PDIK1L	5932296	protein_coding
chr23	5943355	5947023	+	TRIM63	5943355	protein_coding
chr23	5947940	5950683	+	SLC30A2	5947940	protein_coding
chr23	5951108	5957547	-	EXTL1	5951108	protein_coding
chr23	5972812	5978622	+	STMN1	5972812	protein_coding
chr23	5979339	5988994	+	PAQR7	5979339	protein_coding
chr23	5989525	5995023	-	MTFR1L	5989525	protein_coding
chr23	5998076	6011214	-	SELENON	5998076	protein_coding
chr23	6015763	6070720	-	MAN1C1	6015763	
chr23	6074583	6095098	-	LDLRAP1	6074583	
chr23	6100779	6127488	-	MACO1	6100779	protein_coding
chr23	6130222	6137105	+	LOC110472870	6130222	protein_coding
chr23	6137934	6140957	-	TMEM50A	6137934	protein_coding
chr23	6141069	6145628	+	RSRP1	6141069	protein_coding
chr23	6146193	6149860	-	SYF2	6146193	protein_coding
chr23	6185459	6225823	+	RUNX3	6185459	protein_coding
chr23	6253601	6279269	-	CLIC4	6253601	
chr23	6291788	6308793	-	SRRM1	6291788	protein_coding
chr23	6311465	6317680	-	NCMAP	6311465	protein_coding
chr23	6321059	6328052	-	RCAN3	6321059	protein_coding
chr23	6330651	6343131	-	NIPAL3	6330651	protein_coding
chr23	6343615	6353466	+	LOC116184423	6343615	lncRNA
chr23	6355665	6389614	-	GRHL3	6355665	protein_coding
chr23	6411522	6415416	+	IFNLR1	6411522	protein_coding
chr23	6418680	6425639	+	IL22RA1	6418680	protein_coding
chr23	6431858	6454920	+	MYOM3	6431858	protein_coding
chr23	6456371	6467250	+	LOC110472919	6456371	protein_coding
chr23	6465848	6467881	+	LOC110483989	6465848	protein_coding
chr23	6472205	6482703	+	SRSF10	6472205	
chr23	6482951	6486825	-	LOC110483992	6482951	protein_coding
chr23	6497399	6501273	-	LOC110475327	6497399	protein_coding
chr23	6512019	6513068	+	CNR2	6512019	protein_coding
chr23	6513166	6520062	+	FUCA1	6513166	protein_coding
chr23	6520591	6525444	+	HMGCL	6520591	
chr23	6525791	6529570	+	GALE	6525791	protein_coding
chr23	6529700	6537595	-	LYPLA2	6529700	protein_coding
chr23	6537844	6540154	-	PITHD1	6537844	protein_coding
chr23	6540986	6555636	-	ELOA	6540986	protein_coding
chr23	6558249	6561103	-	RPL11	6558249	protein_coding
chr23	6564294	6568358	+	PPT1	6564294	protein_coding
chr23	6568222	6581249	-	CAP1	6568222	protein_coding
chr23	6586267	6595818	-	MFSD2A	6586267	protein_coding
chr23	6600703	6604505	+	MYCL	6600703	protein_coding
chr23	6607196	6622845	+	TRIT1	6607196	protein_coding
chr23	6626782	6634274	-	LOC110475335	6626782	protein_coding
chr23	6636847	6640357	+	HPCAL4	6636847	protein_coding
chr23	6642055	6654298	+	NT5C1A	6642055	
chr23	6667032	6675927	+	HEYL	6667032	
chr23	6680245	6692947	+	PABPC4	6680245	protein_coding
chr23	6688289	6688424	+	LOC116184440	6688289	snoRNA
chr23	6688910	6689037	+	LOC116184438	6688910	snoRNA
chr23	6690216	6690348	+	LOC116184439	6690216	snoRNA
chr23	6694425	6697843	+	PPIE	6694425	protein_coding
chr23	6699244	6712815	-	LOC110475355	6699244	protein_coding
chr23	6714400	6856851	-	MACF1	6714400	
chr23	6862281	6863712	-	NDUFS5	6862281	protein_coding
chr23	6865429	6873643	-	AZIN2	6865429	protein_coding
chr23	6874715	6881569	+	AK2	6874715	protein_coding
chr23	6883698	6909591	+	RNF19B	6883698	
chr23	6910452	6913327	+	TMEM54	6910452	protein_coding
chr23	6913509	6915821	-	HPCA	6913509	
chr23	6924606	6939622	+	FNDC5	6924606	
chr23	6952821	6959456	+	YARS1	6952821	protein_coding
chr23	6959616	6975691	-	KIAA1522	6959616	protein_coding
chr23	6993448	6998711	+	SYNC	6993448	protein_coding
chr23	6999052	7007431	-	RBBP4	6999052	protein_coding
chr23	7007618	7016115	+	ZBTB8OS	7007618	
chr23	7016503	7020171	-	LOC110475318	7016503	protein_coding
chr23	7021640	7029193	-	LOC110475346	7021640	protein_coding
chr23	7029195	7030266	+	LOC110475348	7029195	lncRNA
chr23	7031010	7041652	-	ZBTB8B	7031010	protein_coding
chr23	7041763	7051077	+	BSDC1	7041763	protein_coding
chr23	7053026	7072537	+	KPNA6	7053026	
chr23	7073157	7083994	+	TXLNA	7073157	protein_coding
chr23	7085102	7098627	+	CCDC28B	7085102	
chr23	7102994	7109417	+	EIF3I	7102994	protein_coding
chr23	7111354	7121257	-	LOC110475361	7111354	protein_coding
chr23	7122509	7124019	+	FAM167B	7122509	
chr23	7126683	7136923	-	LOC116184422	7126683	lncRNA
chr23	7129787	7136186	+	LCK	7129787	protein_coding
chr23	7137698	7156493	+	HDAC1	7137698	protein_coding
chr23	7159735	7161025	-	LOC110475363	7159735	protein_coding
chr23	7162521	7164038	-	LOC116184427	7162521	lncRNA
chr23	7178644	7190469	-	TMEM39B	7178644	protein_coding
chr23	7193560	7197243	-	LOC110475323	7193560	lncRNA
chr23	7197261	7211430	-	LOC110475364	7197261	
chr23	7314833	7354954	+	ADGRB2	7314833	protein_coding
chr23	7360129	7411570	+	COL16A1	7360129	protein_coding
chr23	7379216	7381692	+	LOC110468089	7379216	protein_coding
chr23	7412387	7417691	+	PEF1	7412387	protein_coding
chr23	7420462	7429066	-	TINAGL1	7420462	
chrUn_NW_021819781v1	97	2614	+	LOC110469823	97	lncRNA
chrUn_NW_021819509v1	40	5334	+	LOC110468601	40	
chrUn_NW_021819505v1	734	2257	-	LOC110468560	734	protein_coding
chrUn_NW_021818569v1	12315	17794	-	LOC110473366	12315	protein_coding
chrUn_NW_021819239v1	9	586	-	LOC110483738	9	protein_coding
chrUn_NW_021819239v1	19380	20522	-	LOC110483739	19380	protein_coding
chrUn_NW_021819178v1	1674	17215	-	LOC116184739	1674	
chrUn_NW_021819178v1	27408	28655	-	LOC116184738	27408	protein_coding
chrUn_NW_021819178v1	31156	39415	+	NDUFA3	31156	protein_coding
chrUn_NW_021819178v1	58724	97579	+	PRPF31	58724	protein_coding
chrUn_NW_021819508v1	11	572	-	LOC110468599	11	protein_coding
chrUn_NW_021819749v1	721	3360	+	LOC110469761	721	protein_coding
chrUn_NW_021818251v1	196	1589	+	LOC110471598	196	protein_coding
chrUn_NW_021819258v1	17863	28129	-	LOC110483994	17863	protein_coding
chrUn_NW_021820077v1	1	1608	+	LOC110471072	1	lncRNA
chrUn_NW_021819226v1	14955	24616	+	LOC110483622	14955	protein_coding
chrUn_NW_021819226v1	45765	47155	+	LOC110483623	45765	lncRNA
chrUn_NW_021819150v1	918	1376	+	ALKBH7	918	protein_coding
chrUn_NW_021819150v1	3823	30220	-	GTF2F1	3823	protein_coding
chrUn_NW_021819150v1	31022	67925	-	KHSRP	31022	
chrUn_NW_021819150v1	70939	213118	-	LOC110483535	70939	protein_coding
chrUn_NW_021819161v1	49407	78038	+	LOC110482420	49407	protein_coding
chrUn_NW_021819161v1	79149	136048	+	LOC110482421	79149	protein_coding
chrUn_NW_021819154v1	1	38605	-	ACADVL	1	
chrUn_NW_021819154v1	43529	51854	-	PHF23	43529	
chrUn_NW_021819154v1	52792	57761	-	GABARAP	52792	protein_coding
chrUn_NW_021819154v1	59128	68175	-	SNAPC2	59128	
chrUn_NW_021819154v1	68376	101663	-	PELP1	68376	protein_coding
chrUn_NW_021819463v1	2449	3164	+	LOC110468457	2449	lncRNA
chrUn_NW_021819556v1	595	10767	+	LOC110475825	595	protein_coding
chrUn_NW_021819556v1	19707	22432	+	LOC110475834	19707	protein_coding
chrUn_NW_021819207v1	7843	30372	-	LOC110483430	7843	protein_coding
chrUn_NW_021819207v1	31576	49803	-	LOC110483431	31576	protein_coding
chrUn_NW_021819139v1	54153	71440	+	LOC116184718	54153	
chrUn_NW_021819139v1	69415	72667	-	LOC110481739	69415	protein_coding
chrUn_NW_021819139v1	73499	74082	-	NOP10	73499	protein_coding
chrUn_NW_021819139v1	74128	76657	+	LOC116184721	74128	lncRNA
chrUn_NW_021819139v1	156473	161613	+	LOC116184720	156473	protein_coding
chrUn_NW_021819261v1	3209	4228	-	LOC110484125	3209	protein_coding
chrUn_NW_021819261v1	26644	27581	+	LOC110484126	26644	protein_coding
chrUn_NW_021819170v1	6211	21845	+	LOC110482672	6211	
chrUn_NW_021819170v1	23113	34828	-	LOC110482673	23113	protein_coding
chrUn_NW_021819742v1	830	7572	-	MUS81	830	protein_coding
chrUn_NW_021819742v1	9870	14210	-	LOC110476694	9870	protein_coding
chrUn_NW_021819240v1	1526	23581	+	LOC110483740	1526	protein_coding
chrUn_NW_021818484v1	14	1334	+	LOC110472693	14	protein_coding
chrUn_NW_021818369v1	2718	12406	+	LOC110482231	2718	protein_coding
chrUn_NW_021819930v1	14	1843	+	LOC110470523	14	lncRNA
chrUn_NW_021819217v1	26364	27416	-	LOC110483532	26364	protein_coding
chrUn_NW_021819217v1	39937	40878	+	LOC110483530	39937	protein_coding
chrUn_NW_021819113v1	6581	32068	+	CUNH16orf58	6581	protein_coding
chrUn_NW_021819113v1	33948	68164	-	LOC110480547	33948	protein_coding
chrUn_NW_021819113v1	80410	91960	+	LOC116184694	80410	protein_coding
chrUn_NW_021819113v1	99996	121089	-	LOC110480549	99996	protein_coding
chrUn_NW_021819113v1	121817	123621	+	LOC110480553	121817	lncRNA
chrUn_NW_021819113v1	151960	217519	+	LOC110480550	151960	protein_coding
chrUn_NW_021819113v1	221015	236364	+	LOC110480551	221015	protein_coding
chrUn_NW_021820118v1	1023	1679	+	LOC110471166	1023	protein_coding
chrUn_NW_021819249v1	1303	22583	+	LOC110483891	1303	protein_coding
chrUn_NW_021819223v1	15561	26381	-	LOC116184755	15561	protein_coding
chrUn_NW_021819223v1	27945	44272	-	RBM42	27945	protein_coding
chrUn_NW_021819223v1	44332	49742	-	LOC110483620	44332	lncRNA
chr21	9760	81652	+	RCC2	9760	
chr21	44669	46037	-	LOC110470848	44669	lncRNA
chr21	86191	119746	-	LOC110481003	86191	protein_coding
chr21	131911	151747	+	LOC110481004	131911	protein_coding
chr21	155679	173353	+	SDHB	155679	protein_coding
chr21	173369	174064	-	LOC110481001	173369	lncRNA
chr21	182512	215914	+	ATP13A2	182512	
chr21	218765	230568	+	MFAP2	218765	protein_coding
chr21	299926	314483	-	NECAP2	299926	protein_coding
chr21	316601	336274	-	SZRD1	316601	protein_coding
chr21	340070	390955	+	FBXO42	340070	protein_coding
chr21	392538	394903	+	CPLANE2	392538	protein_coding
chr21	397152	410453	+	EPHA2	397152	
chr21	412153	417250	-	CLCNKA	412153	protein_coding
chr21	417586	418792	+	HSPB7	417586	protein_coding
chr21	421744	432115	+	ZBTB17	421744	protein_coding
chr21	433537	507837	-	SPEN	433537	
chr21	480506	481546	+	LOC116184388	480506	lncRNA
chr21	510282	517603	-	LOC110474471	510282	lncRNA
chr21	518848	520483	-	LOC116184387	518848	lncRNA
chr21	523460	525549	-	FBLIM1	523460	protein_coding
chr21	528574	531911	-	TMEM82	528574	protein_coding
chr21	532238	534350	-	SLC25A34	532238	protein_coding
chr21	535382	560008	-	PLEKHM2	535382	protein_coding
chr21	564925	588138	-	DDI2	564925	
chr21	589245	594547	-	DDOST	589245	protein_coding
chr21	594686	597176	+	LOC116184389	594686	lncRNA
chr21	596618	607604	-	KIF17	596618	protein_coding
chr21	609810	616272	-	SH2D5	609810	protein_coding
chr21	617659	638345	-	HP1BP3	617659	protein_coding
chr21	640966	789411	-	EIF4G3	640966	
chr21	794662	807161	-	ECE1	794662	protein_coding
chr21	808336	817407	+	ALPL	808336	
chr21	818408	827285	-	RAP1GAP	818408	protein_coding
chr21	828384	859092	-	USP48	828384	protein_coding
chr21	860178	899648	-	HSPG2	860178	protein_coding
chr21	885340	885816	-	LOC110474472	885340	lncRNA
chr21	916049	920547	+	CELA3B	916049	protein_coding
chr21	922816	926328	+	TMEM269	922816	protein_coding
chr21	927405	928471	-	SVBP	927405	protein_coding
chr21	929610	933740	-	LOC110474470	929610	protein_coding
chr21	941813	952377	+	ZNF362	941813	
chr21	951496	965708	-	PHC2	951496	
chr21	968677	969935	+	LOC110474422	968677	lncRNA
chr21	1006077	1018542	+	SLC2A1	1006077	
chr21	1018276	1034962	-	ZMYND12	1018276	
chr21	1035019	1040722	+	PPCS	1035019	
chr21	1042506	1079841	+	CCDC30	1042506	
chr21	1083241	1084226	+	LOC110474421	1083241	lncRNA
chr21	1089642	1094027	+	LOC110474425	1089642	protein_coding
chr21	1099454	1113878	-	SRM	1099454	
chr21	1116446	1130656	-	EXOSC10	1116446	protein_coding
chr21	1132619	1195533	-	MTOR	1132619	protein_coding
chr21	1168965	1174087	+	ANGPTL7	1168965	protein_coding
chr21	1195739	1203220	+	UBIAD1	1195739	protein_coding
chr21	1282194	1326889	+	DISP3	1282194	
chr21	1360058	1364400	-	FBXO2	1360058	protein_coding
chr21	1364786	1369829	+	LOC110479726	1364786	protein_coding
chr21	1370286	1377054	-	MAD2L2	1370286	protein_coding
chr21	1378124	1394970	+	DRAXIN	1378124	protein_coding
chr21	1402237	1413064	+	AGTRAP	1402237	protein_coding
chr21	1424994	1426567	+	LOC110479733	1424994	lncRNA
chr21	1433248	1443631	-	MTHFR	1433248	protein_coding
chr21	1444032	1465763	+	CLCN6	1444032	
chr21	1465922	1467988	-	NPPA	1465922	protein_coding
chr21	1483071	1505634	+	LOC116184395	1483071	lncRNA
chr21	1502281	1507020	-	LOC116184394	1502281	protein_coding
chr21	1509728	1514774	-	KIAA2013	1509728	protein_coding
chr21	1515556	1517135	+	LOC110479717	1515556	lncRNA
chr21	1518249	1534858	+	PLOD1	1518249	protein_coding
chr21	1534962	1546790	+	MFN2	1534962	
chr21	1547560	1554893	+	MIIP	1547560	protein_coding
chr21	1561765	1578560	+	TNFRSF8	1561765	protein_coding
chr21	1581451	1602707	+	TNFRSF1B	1581451	protein_coding
chr21	1605829	1704060	+	VPS13D	1605829	protein_coding
chr21	1703069	1715754	-	LOC116184401	1703069	lncRNA
chr21	1719134	1756118	-	DHRS3	1719134	
chr21	1755424	1771622	+	LOC110476776	1755424	protein_coding
chr21	1779182	1782429	+	AADACL4	1779182	protein_coding
chr21	1790122	1794701	+	LOC110476774	1790122	protein_coding
chr21	1810351	1814857	+	LOC110476773	1810351	protein_coding
chr21	1840616	1855968	-	LRRC38	1840616	protein_coding
chr21	1874224	1887527	+	PDPN	1874224	protein_coding
chr21	1898106	1955118	+	PRDM2	1898106	
chr21	1960068	1964872	+	LOC110476778	1960068	lncRNA
chr21	1974219	2187746	+	KAZN	1974219	protein_coding
chr21	2094595	2100130	-	LOC110476786	2094595	lncRNA
chr21	2193732	2204182	+	TMEM51	2193732	
chr21	2206162	2207087	+	LOC110476784	2206162	lncRNA
chr21	2208700	2211600	+	MRPS16	2208700	
chr21	2211789	2225391	-	SLC45A1	2211789	protein_coding
chr21	2272698	2273805	+	LOC110478709	2272698	lncRNA
chr21	2282807	2341287	+	ARHGEF10L	2282807	protein_coding
chr21	2348405	2359781	-	LOC110478708	2348405	lncRNA
chr21	2406535	2438137	+	IGSF21	2406535	protein_coding
chr21	2439661	2445879	+	KLHDC7A	2439661	protein_coding
chr21	2488009	2672030	+	PAX7	2488009	protein_coding
chr21	2746402	2754401	-	ALDH4A1	2746402	protein_coding
chr21	2756726	2810929	-	IFFO2	2756726	
chr21	2829204	2926299	-	UBR4	2829204	protein_coding
chr21	2926513	2940045	-	EMC1	2926513	
chr21	2940155	2943550	+	MRTO4	2940155	protein_coding
chr21	2943472	2947909	-	AKR7A2	2943472	protein_coding
chr21	2949584	2954228	+	SLC66A1	2949584	protein_coding
chr21	2957474	3016631	-	CAPZB	2957474	protein_coding
chr21	3025864	3044872	+	MICOS10	3025864	
chr21	3055050	3069546	+	NBL1	3055050	protein_coding
chr21	3075107	3118582	+	HTR6	3075107	
chr21	3080745	3117639	-	TMCO4	3080745	protein_coding
chr21	3125321	3136522	+	OTUD3	3125321	
chr21	3138373	3142323	-	LOC110472283	3138373	protein_coding
chr21	3144168	3145640	-	LOC110472282	3144168	protein_coding
chr21	3146713	3149714	-	LOC110472281	3146713	protein_coding
chr21	3158644	3159491	+	UBXN10	3158644	protein_coding
chr21	3161656	3173184	-	LOC110472250	3161656	protein_coding
chr21	3177000	3206560	+	VWA5B1	3177000	
chr21	3217750	3220268	-	CAMK2N1	3217750	protein_coding
chr21	3222448	3227087	-	MUL1	3222448	protein_coding
chr21	3227153	3228447	-	FAM43B	3227153	protein_coding
chr21	3229065	3234015	+	CDA	3229065	protein_coding
chr21	3235831	3245766	+	PINK1	3235831	protein_coding
chr21	3246858	3250500	+	AGMAT	3246858	protein_coding
chr21	3250893	3262775	-	DNAJC16	3250893	protein_coding
chr21	3266250	3273805	+	CASP9	3266250	protein_coding
chr21	3275694	3277269	-	LOC110472277	3275694	protein_coding
