finch,mouse
FRY,FRY
FRYL,FRYL
NET1,NET1
ARHGEF3,ARHGEF3
MAB21L1,MAB21L1
PLPPR1,PLPPR1
PLPPR5,PLPPR5
MAP1LC3A,MAP1LC3A
E2F3,E2F3
DYNC1LI1,DYNC1LI1
RASGRF2,RASGRF2
RASGRF1,RASGRF1
ATP9A,ATP9A
CHORDC1,CHORDC1
LOC110478412,FOLH1
ROBO2,ROBO2
ROBO3,ROBO3
MEF2C,MEF2C
MEF2A,MEF2A
IRX4,IRX4
LPCAT1,LPCAT1
LPCAT2,LPCAT2
ATP2C1,ATP2C1
ATP2C2,ATP2C2
LIPH,LIPH
LIPI,LIPI
KIF13A,KIF13A
TRIM9,TRIM9
SLC20A2,SLC20A2
SLC20A1,SLC20A1
RNF182,RNF182
TBP,TBP
TBPL2,TBPL2
KLHL3,KLHL3
KLHL2,KLHL2
FSTL5,FSTL5
FSTL4,FSTL4
IRX2,IRX2
HECW2,HECW2
HECW1,HECW1
LARP1B,LARP1B
LARP1,LARP1
ADCY8,ADCY8
ADCY3,ADCY3
TRHR,TRHR
CPNE7,CPNE7
CPNE4,CPNE4
ATAD2,ATAD2
ATAD2B,ATAD2B
TBC1D22B,TBC1D22B
TBC1D22A,TBC1D22A
PUM1,PUM1
PUM2,PUM2
DPEP1,DPEP1
TOP1,TOP1
TOP1MT,TOP1MT
SLC6A19,SLC6A19
LOC110469679,SLC6A18
RBPMS,RBPMS
RBPMS2,RBPMS2
HAS2,HAS2
KIF21A,KIF21A
VPS4B,VPS4B
HNRNPU,HNRNPU
CNOT6,CNOT6
CNOT6L,CNOT6L
PEF1,PEF1
PDCD6,PDCD6
CAMK4,CAMK4
DESI2,DESI2
LOC110478241,NQO2
LOC110478235,NQO1
REEP5,REEP5
EZH2,EZH2
EZH1,EZH1
SNCA,SNCA
SMARCA2,SMARCA2
IKBKB,IKBKB
CHUK,CHUK
RGS6,RGS6
RGS7,RGS7
ITSN1,ITSN1
ITSN2,ITSN2
BRD1,BRD1
GPR1,GPR1
LOC110483671,LRFN3
RANBP10,RANBP10
CNTNAP5,CNTNAP5
KCNK3,KCNK3
KCNK9,KCNK9
RAPGEF2,RAPGEF2
ZDHHC7,ZDHHC7
ZDHHC3,ZDHHC3
SLC36A4,SLC36A4
GRID2,GRID2
GRID1,GRID1
EXTL1,EXTL1
EXT1,EXT1
AP3S2,AP3S2
AP3S1,AP3S1
PAK4,PAK4
PAK5,PAK5
CLGN,CLGN
CANX,CANX
SPOPL,SPOPL
SPOP,SPOP
ARID3B,ARID3B
ERO1B,ERO1B
ERO1A,ERO1A
TBC1D9B,TBC1D9B
TBC1D9,TBC1D9
ADRA1B,ADRA1B
ADRA1A,ADRA1A
TNFAIP8,TNFAIP8
TNFAIP8L1,TNFAIP8L1
DMXL1,DMXL1
DMXL2,DMXL2
TMED3,TMED3
CPEB2,CPEB2
CPEB4,CPEB4
ECHDC2,ECHDC2
AUH,AUH
SMARCA5,SMARCA5
SMARCA1,SMARCA1
DPYS,DPYS
ACVR2A,ACVR2A
ACVR2B,ACVR2B
B4GALT1,B4GALT1
B4GALT2,B4GALT2
LOC110471603,UQCRC1
PMPCB,PMPCB
CHSY1,CHSY1
TMOD1,TMOD1
TMOD4,TMOD4
CIAO2B,FAM96B
ACO1,ACO1
IREB2,IREB2
ADAMTS19,ADAMTS19
ADAMTS17,ADAMTS17
MFSD2A,MFSD2A
MFSD2B,MFSD2B
LOC110470279,WDCP
PHETA1,FAM109A
PHETA2,FAM109B
GFOD2,GFOD2
GFOD1,GFOD1
GABRA6,GABRA6
GABRA4,GABRA4
GLUL,GLUL
TCF12,TCF12
BRINP2,BRINP2
LOC110478439,BRINP3
RNF44,RNF44
RNF38,RNF38
LHX9,LHX9
LHX2,LHX2
PDE8B,PDE8B
PDE8A,PDE8A
NT5DC2,NT5DC2
NT5DC3,NT5DC3
LOC110471010,FBP2
LOC110471011,FBP1
FBXW11,FBXW11
BTRC,BTRC
SEC11C,SEC11C
SEC11A,SEC11A
PTCH1,PTCH1
LOC110469569,PTCH2
LOC110469492,CPLX4
CPLX3,CPLX3
BTF3L4,BTF3L4
NR4A2,NR4A2
NR4A1,NR4A1
SMAD3,SMAD3
NUAK2,NUAK2
NUAK1,NUAK1
ACVRL1,ACVRL1
HEXB,HEXB
HEXA,HEXA
NAPA,NAPA
NAPB,NAPB
OGDHL,OGDHL
OGDH,OGDH
PMM2,PMM2
PMM1,PMM1
LHX4,LHX4
NRN1,NRN1
LOC110483195,LUC7L2
LUC7L,LUC7L
LDB1,LDB1
LDB2,LDB2
ABCG1,ABCG1
ABCG4,ABCG4
SLC6A15,SLC6A15
SLC6A17,SLC6A17
RABGAP1,RABGAP1
RABGAP1L,RABGAP1L
RBM38,RBM38
RBM24,RBM24
LOC110484382,NCKAP1L
NCKAP1,NCKAP1
RALGPS2,RALGPS2
RALGPS1,RALGPS1
LRP1B,LRP1B
LRP1,LRP1
MGAT4C,MGAT4C
CEPT1,CEPT1
CHPT1,CHPT1
MYLK4,MYLK4
ANO3,ANO3
ANO4,ANO4
ERBB4,ERBB4
ERBB3,ERBB3
NR2C1,NR2C1
NR2C2,NR2C2
SLC41A1,SLC41A1
SLC41A2,SLC41A2
USP15,USP15
USP4,USP4
AVPR1A,AVPR1A
SLCO1C1,SLCO1C1
LOC110472955,SLCO1B3
TXNRD1,TXNRD1
TXNRD3,TXNRD3
TLN1,TLN1
USP44,USP44
USP49,USP49
TAFA2,FAM19A2
NTN4,NTN4
KCNS2,KCNS2
KCNS1,KCNS1
NTNG1,NTNG1
NTNG2,NTNG2
PGM5,PGM5
PGM1,PGM1
LOC110477113,CAND2
SLC25A24,SLC25A24
SLC25A25,SLC25A25
MTMR9,MTMR9
STK4,STK4
STK3,STK3
DENND5A,DENND5A
MPPED1,MPPED1
MPPED2,MPPED2
LGR5,LGR5
PDE6G,PDE6G
PDE6H,PDE6H
ARHGDIB,ARHGDIB
ARHGDIA,ARHGDIA
CHIC1,CHIC1
CHIC2,CHIC2
TMEM50A,TMEM50A
TMEM50B,TMEM50B
IPO7,IPO7
IPO8,IPO8
GART,GART
GRIP1,GRIP1
SFXN1,SFXN1
SFXN3,SFXN3
PACSIN2,PACSIN2
PACSIN1,PACSIN1
CTSE,CTSE
ADAMTS10,ADAMTS10
GEM,GEM
REM1,REM1
APH1A,APH1A
NR5A2,NR5A2
CUL4A,CUL4A
CUL4B,CUL4B
ABLIM3,ABLIM3
ABLIM1,ABLIM1
ESRP1,ESRP1
ESRP2,ESRP2
LOC110472314,TRABD2A
TRABD2B,TRABD2B
UBTD2,UBTD2
UBTD1,UBTD1
NLN,NLN
THOP1,THOP1
WNT7A,WNT7A
WNT7B,WNT7B
ERC1,ERC1
ERC2,ERC2
PURA,PURA
PURB,PURB
NEK7,NEK7
NEK6,NEK6
CHRNA5,CHRNA5
CHRNB3,CHRNB3
CPLX1,CPLX1
CHD2,CHD2
ASB16,ASB18
ASB10,ASB10
KCNT1,KCNT1
KCNT2,KCNT2
MICAL2,MICAL2
RAP1A,RAP1A
RPL3,RPL3
RPL3L,RPL3L
CBX6,CBX6
TRPM8,TRPM8
TRPM2,TRPM2
FAM20C,FAM20C
CAP2,CAP2
CAP1,CAP1
MARCHF3,MARCH3
MARCHF2,MARCH2
AP3B1,AP3B1
NAB1,NAB1
JAK2,JAK2
JAK3,JAK3
TPH1,TPH1
TPH2,TPH2
DDX5,DDX5
DDX17,DDX17
GDF11,GDF11
MSTN,MSTN
CREBBP,CREBBP
EP300,EP300
KDELR3,KDELR3
KDELR2,KDELR2
STK38L,STK38L
STK38,STK38
CSNK1E,CSNK1E
CSNK1D,CSNK1D
UHRF1,UHRF1
UHRF2,UHRF2
SLC12A2,SLC12A2
SLC12A1,SLC12A1
TMEM184B,TMEM184B
TMEM184A,TMEM184A
MAFK,MAFK
FSD1L,FSD1L
LOC110473699,PARP12
TMEM121,TMEM121
ABCC8,ABCC8
ABCC9,ABCC9
CRIP2,CRIP2
KCNJ8,KCNJ8
KCNJ11,KCNJ11
HIPK2,HIPK2
HIPK1,HIPK1
LDHB,LDHB
ATP6V0A4,ATP6V0A4
ATP6V0A1,ATP6V0A1
DUSP7,DUSP7
DUSP6,DUSP6
SAR1B,SAR1B
SAR1A,SAR1A
ATP11C,ATP11C
ATP11A,ATP11A
PACS2,PACS2
STAG2,STAG2
STAG1,STAG1
GNPDA1,GNPDA1
GNPDA2,GNPDA2
PARVA,PARVA
PARVB,PARVB
FLI1,FLI1
ERG,ERG
ATP6V0D2,ATP6V0D2
ATP6V0D1,ATP6V0D1
HMGCS2,HMGCS2
NAP1L1,NAP1L1
NAP1L4,NAP1L4
HDAC1,HDAC1
HDAC2,HDAC2
OSBPL8,OSBPL8
OSBPL5,OSBPL5
PRKAB2,PRKAB2
PDE6C,PDE6C
PDE6B,PDE6B
FAM78A,FAM78A
FAM78B,FAM78B
CSRP2,CSRP2
CSRP1,CSRP1
LMO3,LMO3
DSCAML1,DSCAML1
DSCAM,DSCAM
SLC1A3,SLC1A3
LOC110469444,SLC1A6
MAGT1,MAGT1
TUSC3,TUSC3
DGKI,DGKI
DGKZ,DGKZ
MASP1,MASP1
MASP2,MASP2
MDK,MDK
PTN,PTN
YIPF5,YIPF5
YIPF7,YIPF7
CSNK2A2,CSNK2A2
WNT5B,WNT5B
WNT5A,WNT5A
ADIPOR1,ADIPOR1
ADIPOR2,ADIPOR2
STAT1,STAT1
STAT2,STAT2
CACNA2D3,CACNA2D3
MYO1A,MYO1A
MYO1B,MYO1B
RASA3,RASA3
RASA2,RASA2
SNX3,SNX3
SNX12,SNX12
PRKAA2,PRKAA2
PRKAA1,PRKAA1
ETNK1,ETNK1
ETNK2,ETNK2
DCUN1D1,DCUN1D1
DCUN1D2,DCUN1D2
KIF27,KIF27
KIF7,KIF7
ISL1,ISL1
KCTD2,KCTD2
TST,TST
MPST,MPST
CACNG2,CACNG2
CACNG3,CACNG3
LOC110480055,ADAM33
ADAM19,ADAM19
RUFY1,RUFY1
RASD2,RASD2
RASD1,RASD1
GCNT1,GCNT1
CDC42BPA,CDC42BPA
CDC42BPB,CDC42BPB
GFPT2,GFPT2
GFPT1,GFPT1
TOM1L2,TOM1L2
TOM1,TOM1
WNT8B,WNT8B
TRPM6,TRPM6
TRPM7,TRPM7
LIMS2,LIMS2
SLC24A4,SLC24A4
SLC24A3,SLC24A3
AMMECR1L,AMMECR1L
AMMECR1,AMMECR1
ACSL3,ACSL3
ACSL4,ACSL4
UBQLN4,UBQLN4
CNOT7,CNOT7
CNOT8,CNOT8
HMGA1,HMGA1
VRK1,VRK1
TMC1,TMC1
TMC2,TMC2
TMEM63B,TMEM63B
TMEM63A,TMEM63A
EPHX1,EPHX1
AIP,AIP
LOC110472689,AIPL1
ELMO1,ELMO1
ELMO2,ELMO2
P4HA2,P4HA2
P4HA1,P4HA1
LOC110481037,SLC22A5
BCL11A,BCL11A
SLC24A2,SLC24A2
PDIK1L,PDIK1L
PDILT,PDILT
P4HB,P4HB
TRAK1,TRAK1
GPR139,GPR139
FMR1,FMR1
FXR1,FXR1
EIF1,EIF1
EIF1B,EIF1B
DEGS2,DEGS2
DEGS1,DEGS1
POU6F2,POU6F2
BTBD1,BTBD1
BTBD2,BTBD2
SLC10A4,SLC10A4
PRKCZ,PRKCZ
PRKCI,PRKCI
LOC110481454,DNASE1L2
PPP2R5C,PPP2R5C
PPP2R5D,PPP2R5D
MAL,MAL
LOC110472547,PRDM16
MECOM,MECOM
PPM1A,PPM1A
PPM1B,PPM1B
PLOD1,PLOD1
PLOD2,PLOD2
RGS9,RGS9
RGS11,RGS11
LOC110473888,PLSCR5
ZFAND2A,ZFAND2A
ATL2,ATL2
ATL1,ATL1
PIK3CD,PIK3CD
PIK3CB,PIK3CB
GLB1,GLB1
GLB1L,GLB1L
CLSTN2,CLSTN2
CLSTN1,CLSTN1
SRSF7,SRSF7
DAAM1,DAAM1
LOC110476643,DAAM2
BTBD6,BTBD6
BTBD3,BTBD3
ERN2,ERN2
ERN1,ERN1
RBP2,RBP2
RBP7,NMNAT1
RIMS3,RIMS3
RIMS4,RIMS4
SOS1,SOS1
SOS2,SOS2
USP31,USP31
ENO2,ENO2
ENO1,ENO1
ERLIN1,ERLIN1
ERLIN2,ERLIN2
GALNT16,GALNT16
GALNT14,GALNT14
SPSB4,SPSB4
SPSB1,SPSB1
NTN3,NTN3
NTN1,NTN1
MFN1,MFN1
MFN2,MFN2
LOC110478017,ANP32B
CLCN2,CLCN2
CLCN1,CLCN1
KCNK12,KCNK12
KCNK13,KCNK13
TOGARAM2,FAM179A
PPP2R5E,PPP2R5E
PPP2R5A,PPP2R5A
CILP,CILP
LLGL1,LLGL1
LLGL2,LLGL2
RHOJ,RHOJ
RHOQ,RHOQ
KCNH1,KCNH1
DVL1,DVL1
PRPSAP2,PRPSAP2
PRPSAP1,PRPSAP1
LOC110475659,CYP26C1
MXD1,MXD1
MXI1,MXI1
DPP8,DPP8
DPP9,DPP9
PRKCH,PRKCH
PRKCE,PRKCE
EXOC6B,EXOC6B
EXOC6,EXOC6
RALB,RALB
RALA,RALA
GOLGA7,GOLGA7
GOLGA7B,GOLGA7B
KAT6B,KAT6B
KAT6A,KAT6A
HTR7,HTR7
AP3M2,AP3M2
AP3M1,AP3M1
MAP2K1,MAP2K1
ATRN,ATRN
ATRNL1,ATRNL1
PSEN2,PSEN2
PSEN1,PSEN1
USP5,USP5
USP13,USP13
PITPNC1,PITPNC1
ARHGAP17,ARHGAP17
RHOT2,RHOT2
RHOT1,RHOT1
CLASP1,CLASP1
CLASP2,CLASP2
NT5C2,NT5C2
PELI2,PELI2
SCNN1A,SCNN1A
DYSF,DYSF
MYOF,MYOF
ADCY5,ADCY5
ZMIZ1,ZMIZ1
SEC14L5,SEC14L5
SEC14L1,SEC14L1
KIAA0895,KIAA0895
WFIKKN2,WFIKKN2
TCF7L2,TCF7L2
RBFOX3,RBFOX3
RBFOX1,RBFOX1
MDGA1,MDGA1
MDGA2,MDGA2
ECE2,ECE2
VILL,VILL
VIL1,VIL1
RHBDF1,RHBDF1
RHBDF2,RHBDF2
LOC110471035,HBAD
NT5C3A,NT5C3A
NT5C3B,NT5C3B
FKBP9,FKBP9
ADD2,ADD2
ADD3,ADD3
ACTR3,ACTR3
GAA,GAA
ARNT2,ARNT2
ARNT,ARNT
PLEKHH1,PLEKHH1
PLEKHH2,PLEKHH2
SLC25A28,SLC25A28
IDH2,IDH2
IDH1,IDH1
NTRK3,NTRK3
LOC110480038,ZP4
STAMBPL1,STAMBPL1
LOC110474508,VIPR1
RPH3A,RPH3A
XYLT1,XYLT1
KCTD6,KCTD6
KCNRG,KCTD19
EN1,EN1
INSIG1,INSIG1
INSIG2,INSIG2
EFHD2,EFHD2
EFHD1,EFHD1
DPP4,DPP4
FAP,FAP
ADGRA2,ADGRA2
PTGS1,PTGS1
PTGS2,PTGS2
TEKT1,TEKT1
AMPD3,AMPD3
SDK2,SDK2
SDK1,SDK1
CLK3,CLK3
CLK2,CLK2
SLC11A1,SLC11A1
SGSM1,SGSM1
SGSM2,SGSM2
MMD2,MMD2
MMD,MMD
FBXO2,FBXO2
FSCN1,FSCN1
FSCN2,FSCN2
SMURF1,SMURF1
SMURF2,SMURF2
KPNA7,KPNA7
KPNA2,KPNA2
ARPC1A,ARPC1A
ARPC1B,ARPC1B
MSI2,MSI2
MSI1,MSI1
ATG9A,ATG9A
SHH,SHH
IHH,IHH
MAP2K6,MAP2K6
MAP2K3,MAP2K3
MYO1C,MYO1C
MYO1H,MYO1H
LRP6,LRP6
LRP5,LRP5
TNFAIP1,TNFAIP1
KCTD10,KCTD10
LOC110470362,FAR2
FAR1,FAR1
PLCD3,PLCD3
PLCD4,PLCD4
PXN,PXN
ING5,ING5
ING4,ING4
MYL4,MYL4
GIT1,GIT1
LOC110483541,ITGA7
ITGA6,ITGA6
LOC110485017,CABP2
CDK2AP2,CDK2AP2
PITPNM1,PITPNM1
MITF,MITF
TFEB,TFEB
CTRL,CTRL
NBEAL2,NBEAL2
NBEAL1,NBEAL1
PRKAR1B,PRKAR1B
PRKAR1A,PRKAR1A
GALNT17,WBSCR17
RHOF,RHOF
USP33,USP33
USP20,USP20
G6PC2,G6PC2
G6PC,G6PC
RPS6KB1,RPS6KB1
RPS6KB2,RPS6KB2
LOC110474225,TMOD3
LOC110474227,TMOD2
SIDT1,SIDT1
CRHR2,CRHR2
MYO1E,MYO1E
MYO1F,MYO1F
LOC110468166,NTM
OPCML,OPCML
UNC119B,UNC119B
MINDY2,FAM63B
MINDY1,FAM63A
PKN3,PKN3
PKN2,PKN2
PPARA,PPARA
PPARD,PPARD
SH3GLB1,SH3GLB1
SH3GLB2,SH3GLB2
LOC116184543,SPATS2
CERS6,CERS6
CERS5,CERS5
TLK2,TLK2
TLK1,TLK1
VPS26B,VPS26B
VPS26A,VPS26A
FZD9,FZD9
MKNK2,MKNK2
TPST2,TPST2
TPST1,TPST1
PITPNB,PITPNB
SCAMP4,SCAMP4
KLHL40,KLHL40
GALNT3,GALNT3
GALNT6,GALNT6
LOC110481835,CSRNP2
CSRNP3,CSRNP3
UBE2Q1,UBE2Q1
TCIRG1,TCIRG1
ATP6V0A2,ATP6V0A2
ACSBG1,ACSBG1
ACSBG2,ACSBG2
SDF2,SDF2
SDF2L1,SDF2L1
CIB2,CIB2
CIB3,CIB3
RPS27,RPS27
LOC110483903,RPS27L
ST6GALNAC4,ST6GALNAC4
ST6GALNAC3,ST6GALNAC3
REN,REN
PRKAG2,PRKAG2
PRKAG1,PRKAG1
LMBR1,LMBR1
OTUD7A,OTUD7A
OTUD7B,OTUD7B
ESYT2,ESYT2
SMARCC2,SMARCC2
SMARCC1,SMARCC1
CAMKK2,CAMKK2
CAMKK1,CAMKK1
VANGL1,VANGL1
VANGL2,VANGL2
WNT9A,WNT9A
WNT3A,WNT3A
WNT3,WNT3
CHCHD10,CHCHD10
CHCHD2,CHCHD2
DERL3,DERL3
DERL2,DERL2
ABR,ABR
BCR,BCR
IP6K3,IP6K3
CLTC,CLTC
CLTCL1,CLTCL1
LIMK1,LIMK1
LIMK2,LIMK2
ORAI1,ORAI1
CLIP1,CLIP1
CLIP2,CLIP2
MAPKAPK3,MAPKAPK3
MAPKAPK2,MAPKAPK2
PSMB6,PSMB4
GATAD2B,GATAD2B
SLC13A5,SLC13A5
LOC110467729,SLC47A2
PDIA3,PDIA3
TP53BP1,TP53BP1
TUBGCP4,TUBGCP4
CIB1,CIB1
GDPGP1,GDPGP1
VPS33B,VPS33B
PRC1,PRC1
MFAP1,MFAP1
HYPK,HYPK
SERINC4,SERINC4
SCARF2,SCARF2
TBX5,TBX5
THOC5,THOC5
NEFH,NEFH
KSR2,KSR2
GAL3ST1,GAL3ST1
RNF215,RNF215
LOC110474137,CCDC157
SF3A1,SF3A1
CASTOR1,GATSL3
HORMAD2,HORMAD2
MTMR3,MTMR3
LOC110474142,UQCR10
PES1,PES1
ZMAT5,ZMAT5
CABP7,CABP7
EWSR1,EWSR1
ASCC2,ASCC2
WSB2,WSB2
RFC5,RFC5
P2RX6,P2RX6
SLC7A4,SLC7A4
TBX3,TBX3
RBM19,RBM19
PLBD2,PLBD2
SLC8B1,SLC8B1
FBXO21,FBXO21
TESC,TESC
FBXW8,FBXW8
RNFT2,RNFT2
C15H12orf49,C12orf49
TRPT1,TRPT1
OTUB1,OTUB1
NAA40,NAA40
RBM14,RBM14
CCT5,CCT5
ATPSCKMT,FAM173B
RETREG1,FAM134B
ZNF622,ZNF622
MARCHF11,MARCH11
UBE2QL1,UBE2QL1
MED10,MED10
VWC2,VWC2
TENT4A,PAPD7
NSUN2,NSUN2
GRB10,GRB10
COBL,COBL
IKZF1,IKZF1
DDC,DDC
SPRY2,SPRY2
FBXL7,FBXL7
NDFIP2,NDFIP2
RBM26,RBM26
ANKH,ANKH
OBI1,RNF219
MYCBP2,MYCBP2
SNRNP48,SNRNP48
ROPN1L,ROPN1L
MARCHF6,MARCH6
LMO7,LMO7
MTRR,MTRR
FASTKD3,FASTKD3
C2H5orf49,C5orf49
UCHL3,UCHL3
TBC1D4,TBC1D4
KLF12,KLF12
PIBF1,PIBF1
DIS3,DIS3
MZT1,MZT1
DACH1,DACH1
SLC33A1,SLC33A1
C9H3orf33,C3orf33
TSC22D2,TSC22D2
IGSF10,IGSF10
RNF13,RNF13
P2RY13,P2RY13
P2RY12,P2RY12
COMMD2,COMMD2
GPR87,GPR87
WWTR1,WWTR1
P2RY14,P2RY14
TM4SF4,TM4SF4
HPS3,HPS3
SELENOT,SELENOT
EIF2A,EIF2A
GYG1,GYG1
SERP1,SERP1
NMD3,NMD3
DIPK1C,FAM69C
CCDC112,PGGT1B
C2H18orf63,C18orf63
CIDEA,CIDEA
FEM1C,FEM1C
TSHZ1,TSHZ1
ZADH2,ZADH2
LOC110470876,CYB5A
ALDH7A1,ALDH7A1
TIMM21,TIMM21
FRMPD1,FRMPD1
RTTN,RTTN
TRIM59,TRIM59
SMC4,SMC4
DCAF10,DCAF10
POLR1E,POLR1E
TMEM200C,TMEM200C
SEH1L,SEH1L
ZBTB5,ZBTB5
GRHPR,GRHPR
MFSD1,MFSD1
PTPN2,PTPN2
GFM1,GFM1
PSMG2,PSMG2
POT1,POT1
ZNF608,ZNF608
LSMEM1,LSMEM1
AFG3L2,AFG3L2
CTTNBP2,CTTNBP2
CFTR,CFTR
TMX3,TMX3
SNX2,SNX2
CEP192,CEP192
RSRC1,RSRC1
PANX2,PANX2
TES,TES
PRDM6,PRDM6
TFEC,TFEC
PLXNB2,PLXNB2
GRAMD2B,GRAMD3
ZNF800,ZNF800
SOCS6,SOCS6
VEPH1,VEPH1
TSPAN12,TSPAN12
AASS,AASS
CCDC102B,CCDC102B
MELK,MELK
SERPINI1,SERPINI1
PTPRZ1,PTPRZ1
PDCD10,PDCD10
ZNF277,ZNF277
SNCAIP,SNCAIP
DLGAP1,DLGAP1
LRRN3,LRRN3
SRFBP1,SRFBP1
TGIF1,TGIF1
RNASEH2C,TMEM223
GMPS,GMPS
WNT16,WNT16
CEP120,CEP120
MGMT,MGMT
EMILIN2,EMILIN2
MYOM1,MYOM1
NPVF,NPVF
ING3,ING3
GLRX3,GLRX3
TCERG1L,TCERG1L
HIBADH,HIBADH
SMCHD1,SMCHD1
WIPF3,WIPF3
SCRN1,SCRN1
FKBP14,FKBP14
MPPE1,MPPE1
KLHL7,KLHL7
WDR11,WDR11
SNX24,SNX24
GPNMB,GPNMB
CCDC126,CCDC126
RNMT,RNMT
FAM221A,FAM221A
FAM210A,FAM210A
ATE1,ATE1
ASB11,ASB11
CDCA7L,CDCA7L
GFRAL,GFRAL
HCRTR2,HCRTR2
VEGFD,VEGFD
LSM8,LSM8
NDC80,NDC80
JAZF1,JAZF1
DSEL,DSEL
PRKX,PRKX
ANOS1,ANOS1
ARHGEF26,ARHGEF26
GPR85,GPR85
BMT2,BMT2
GRPR,GRPR
PHF3,PHF3
TIPARP,TIPARP
SSR3,SSR3
METTL4,METTL4
CD109,CD109
MET,MET
CLTRN,TMEM27
CAV2,CAV2
TBC1D5,TBC1D5
ACE2,ACE2
PPP1R3A,PPP1R3A
ASMT,ASMT
TRABD,TRABD
MTO1,MTO1
SELENOO,SELENOO
PWWP2B,PWWP2B
AKAP17A,AKAP17A
TUBGCP6,TUBGCP6
EPB41L3,EPB41L3
HDAC10,HDAC10
INPP5A,INPP5A
SMPD1,SMPD1
ZBTB14,ZBTB14
AKAIN1,AKAIN1
PIGA,PIGA
MOSPD2,MOSPD2
ARFIP2,ARFIP2
FANCB,FANCB
B3GAT2,B3GAT2
TIMM10B,TIMM10B
SMAP1,SMAP1
TCTN3,TCTN3
LOC110483513,SPAM1
SDHAF4,SDHAF4
SYAP1,SYAP1
NAPG,NAPG
ILK,ILK
NKIRAS1,NKIRAS1
LMOD2,LMOD2
FAM135A,FAM135A
TAF10,TAF10
RPL15,RPL15
NDUFA5,NDUFA5
HTRA1,HTRA1
IQUB,IQUB
LCMT2,LCMT2
CREB5,CREB5
ATP6AP1,ATP6AP1
PNPLA4,PNPLA4
SLC13A1,SLC13A1
TRIL,TRIL
COL9A1,COL9A1
STS,STS
PUDP,PUDP
SATB1,SATB1
PNPLA8,PNPLA8
APCDD1,APCDD1
COL19A1,COL19A1
C6H10orf88,C10orf88
WDR73,WDR73
NRCAM,NRCAM
LMBRD1,LMBRD1
CNTN1,CNTN1
P2RY8,P2RY8
IKZF5,IKZF5
SLCO2B1,SLCO2B1
PPP4R1,PPP4R1
ASMTL,ASMTL
ACADSB,ACADSB
HMX3,HMX3
KCNE3,KCNE3
RALBP1,RALBP1
POLD3,POLD3
BUB3,BUB3
ZCRB1,ZCRB1
TWSG1,TWSG1
TAB3,TAB3
PPHLN1,PPHLN1
PRICKLE1,PRICKLE1
ANKRD12,ANKRD12
NDUFV2,NDUFV2
MYOM2,MYOM2
CHRDL2,CHRDL2
CHST15,CHST15
RNF169,RNF169
PUS7L,PUS7L
OAT,OAT
IRAK4,IRAK4
MTCL1,MTCL1
KBTBD11,KBTBD11
SMPX,SMPX
KLHL34,KLHL34
RAB12,RAB12
TLR7,TLR7
LHPP,LHPP
NARS2,NARS2
FAM83B,FAM83B
FAM53B,FAM53B
USP35,USP35
TMEM117,TMEM117
RAPGEF5,RAPGEF5
FRMPD4,FRMPD4
KCTD21,KCTD21
POLR2I,POLR2I
ALG8,ALG8
IL6,IL6
MSL3,MSL3
RAB11FIP2,RAB11FIP2
LAMA1,LAMA1
PLEKHA8,PLEKHA8
MLIP,MLIP
FAM204A,FAM204A
LRRC1,LRRC1
INTS4,INTS4
COLQ,COLQ
WWC3,WWC3
AAMDC,AAMDC
GCLC,GCLC
FAM126A,FAM126A
RSF1,RSF1
CLNS1A,CLNS1A
HACL1,HACL1
POLA1,POLA1
AQP11,AQP11
BTD,BTD
GDPD4,GDPD4
CLDN34,CLDN34
CACUL1,CACUL1
GALNT15,GALNT15
CDKL5,CDKL5
FBXO9,FBXO9
CILK1,ICK
DENND10,FAM45A
SFXN4,SFXN4
ACER3,ACER3
PRDX3,PRDX3
OXNAD1,OXNAD1
MXRA5,MXRA5
AGPAT5,AGPAT5
RFTN1,RFTN1
MCPH1,MCPH1
RGS10,RGS10
TGFBR2,TGFBR2
TSKU,TSKU
GYG2,GYG2
YAF2,YAF2
TPO,TPO
GXYLT1,GXYLT1
PRRG1,PRRG1
SNTG2,SNTG2
STT3B,STT3B
TMEM47,TMEM47
PRIM2,PRIM2
CD99,CD99
SCML2,SCML2
FBXO15,FBXO15
LOC110482209,ZNF451
THAP12,THAP12
BEND6,BEND6
CMTM8,CMTM8
UFM1,UFM1
FREM2,FREM2
CMTM6,CMTM6
DHRSX,DHRSX
RAI2,RAI2
UVRAG,UVRAG
GEMIN8,GEMIN8
BAG3,BAG3
SMC6,SMC6
POSTN,POSTN
NHS,NHS
TDRD3,TDRD3
INPP5F,INPP5F
MCMBP,MCMBP
COL21A1,COL21A1
MYT1L,MYT1L
REPS2,REPS2
GSDME,DFNA5
GPM6B,GPM6B
SEC23IP,SEC23IP
ZRANB1,ZRANB1
OSBPL3,OSBPL3
OFD1,OFD1
LOC110474649,CYCS
EIPR1,TSSC1
PCDH17,PCDH17
TRAPPC12,TRAPPC12
CASK,CASK
NUMA1,NUMA1
BCKDHB,BCKDHB
GRHL1,GRHL1
TTK,TTK
KLF11,KLF11
NEK5,NEK5
NYX,NYX
ELOVL4,ELOVL4
PPP2R3B,PPP2R3B
LAMTOR1,LAMTOR1
ASRGL1,ASRGL1
UROS,UROS
NEK3,NEK3
OGFRL1,OGFRL1
PPME1,PPME1
BCCIP,BCCIP
RPL8,RPL8
