"","Astrocytes","Ex_Pre_KCNH7","Inh_MGE_like_SST_ABI3BP","Vascular","Ex_DACH2_LUZP2","Inh_LGE_like_FOXP1_DGKH","OPCs","Microglia","Oligodendrocytes","Ex_SATB2_OVOA","Ex_DACH2_LHX2","Inh_OB_CPA6","Ex_DACH2_TAC1","Ex_CACNA1H_PROX1","Inh_OB_FGFRL1","Ex_DACH2_NR4A3","Ex_SATB2_SOX6","Inh_LGE_like_FOXP2","Inh_LGE_like_Pre","Inh_LGE_like_FOXP1_SGCG","Ex_DACH2_SLIT2","Ex_DACH2_RORB","Ex_DACH2_ITGA9","Inh_MGE_like_SST_PVALB","Ex_SATB2_FOXP2","Inh_MGE_like_ST18","Ex_BCL6","Inh_MGE_like_SST_SLC24A2","Inh_MGE_like_ANO1","Inh_MGE_like_ST18_PVALB","Inh_CGE_like_CACNA1B","Inh_CGE_like_CACNA2D3","Inh_CGE_like_MAN1A1","Ex_DACH2_GRIK4","Ex_DACH2_CEMIP","Inh_MGE_like_LHX8","Ex_CACNA1H_KIT","Ex_TCF7L2","Ex_CACNA1H_MCTP2","Ex_DACH2_MGAT4C","Ex_CACNA1H_LHX9","Ex_KIAA1217","Ex_CACNA1H_CPA6","Ex_KIAA1217_BCL6","Ex_TSHZ2_NR4A2","Ex_DACH2_ZMAT4","Ex_SATB2_ZNF385B","Ex_DACH2_ADAMTS5","Ex_Pre_SATB2","COPs+NFOLs"
"Glut-GABA",0,0.00678833800211209,0,0,0.00443848945865385,0.029746188056796,0,0.00648783646407315,0,0.00581529585095723,0.00389398867830467,0.00384154189822474,0.00519454920110813,0.00199129004148831,0,0.0264488153931765,0.00389346775540188,0.0733280539270219,0.00170398380191838,0.0460575938838035,0.0219693776824791,0,0.00270277684327081,0,0.00148736731511881,0,0.00351445644202988,0.0041486255791432,0,0,0.00116948181469027,0,0,0.033492046887171,0.0035602954425084,0.0305590683289406,0.00147511446488413,0,0.000986558715893712,0.0821789476100045,0.000885336434212947,0.00109544225567822,0,0,0,0.00521213314895517,0.0165845268854215,0.0761273690009397,0,0
"Glut-Im",0,0.0211995063708085,0,0.0016,0.00203915887365149,0,0,0,0,0,0.00200377935858865,0,0,0,0,0.0513664787707183,0,0,0,0,0.00036851067141739,0,0,0,0.00165647133515008,0,0.000892611762497567,0,0,0,0,0,0,0.70637638568462,0.00245813870417005,0,0,0,0,0,0,0,0,0,0,0.000863301152903696,0,0.00126031884262542,0.000684675526307388,0
"Glut-NB",0,0.60646767884261,0,0.0018750237143104,0.000945634335364323,0,0,0.00480480369443826,0,0,0,0,0,0,0,0.000562200412145341,0,0,0,0.000580515925692094,0,0,0,0,0.000556558209478257,0,0.000365698022983423,0,0,0,0,0,0,0.155422314785999,0,0,0,0,0,0.00203311052577952,0.000846231784485147,0,0,0,0,0,0,0.0020043742179748,0.00632131619806941,0
"Glut-NSC",0.0346456894417895,0.0288735164180703,0.00134518371853091,0.381185670703703,0.0206212487747423,0,0,0.00835301412285171,0,0,0.00101834244263159,0.0136770286109262,0,0.0249347739241739,0,0,0,0,0.0117514455489741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glut-SATB2-1",0,0,0,0,0,0,0,0.00255433279432239,0,0.0016440755334667,0,0,0,0,0,0,0.305165387477333,0,0,0,0,0,0,0,0.307708834816193,0,0,0,0,0,0,0,0,0.00363549214306699,0,0,0,0,0,0,0,0,0,0,0,0,0.123361491577493,0,0,0
"Micro",0,0,0,0.0121557822345681,0,0,0,0.96839152639015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligo-1",0,0,0,0,0,0,0,0,0.907290668609178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligo-2",0,0.00394450333291117,0.00195548969155948,0.017236743361174,0.00124907578937416,0.00258241200244579,0,0.00522193211488251,0.782466836804286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000567802574837762,0,0
"Oligo-3",0.53530094784929,0.00154539594878563,0,0.0104589604934934,0,0,0,0.0309624776529234,0.236179164861455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPC",0.00412861805887792,0,0,0.0016,0,0,0.932847130622332,0.0100181322018706,0.00469444156511375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174041641123741
