OMAid_1	RefSeq_1	gene_id	EntrezGene_1	SourceID_1	OMAid_2	RefSeq_2	Ensembl.Gene_2	EntrezGene_2	gene_name_ck	RelType	OmaGroup	gene_name_zf
TAEGU08508	XP_030146514	ENSTGUG00000002254	100219094	ENSTGUG00000002254.2	CHICK00434	XP_046764725	NA	429525	MCM10	1:1	766698	MCM10
TAEGU08510	NA	ENSTGUG00000002270	NA	ENSTGUG00000002270.2	CHICK00439	XP_040513485	NA	426601	PHYH	1:1	NA	PHYH
TAEGU08514	XP_012424272	ENSTGUG00000002278	100228638	ENSTGUG00000002278.2	CHICK00440	NP_001157556	NA	426612	SEPHS1	1:1	1359309	SEPHS1
TAEGU08522	NA	ENSTGUG00000002282	NA	ENSTGUG00000002282.2	CHICK00443	NP_001269164	NA	419037	BEND7	1:1	1395534	BEND7
TAEGU08524	XP_002192873	ENSTGUG00000002286	100222892	ENSTGUG00000002286.2	CHICK00445	XP_004937548	NA	419036	PRPF18	1:1	1369175	PRPF18
TAEGU08536	NA	ENSTGUG00000002298	NA	ENSTGUG00000002298.2	CHICK00455	XP_040510611	NA	419035	FRMD4A	1:1	1073551	FRMD4A
TAEGU08552	NA	ENSTGUG00000022507	NA	ENSTGUG00000022507.1	CHICK00461	XP_040510701	NA	426376	FAM107B	1:1	1019407	FAM107B
TAEGU08563	NA	ENSTGUG00000002324	NA	ENSTGUG00000002324.2	CHICK00470	NP_001383360	NA	418802	HSPA14	1:1	1068477	HSPA14
TAEGU08570	XP_030146827	ENSTGUG00000002338	100225827	ENSTGUG00000002338.2	CHICK00471	NP_001026541	NA	426314	SUV39H2	1:1	918889	SUV39H2
TAEGU08575	NA	ENSTGUG00000002342	NA	ENSTGUG00000002342.2	CHICK00473	XP_040557674	NA	430764	DCLRE1C	1:1	1356470	DCLRE1C
TAEGU08578	NA	ENSTGUG00000025713	NA	ENSTGUG00000025713.1	CHICK00475	XP_040557825	NA	769589	MEIG1	1:1	NA	MEIG1
TAEGU08586	XP_030146893	ENSTGUG00000002365	100229576	ENSTGUG00000002365.2	CHICK00486	NP_001074332	NA	418646	DMTF1	1:1	345884	DMTF1
TAEGU08591	NA	ENSTGUG00000002377	NA	ENSTGUG00000002377.2	CHICK00490	XP_040515156	NA	418645	ELAPOR2	1:1	1069811	ELAPOR2
TAEGU08597	NA	ENSTGUG00000002399	NA	ENSTGUG00000002399.2	CHICK00492	XP_004937556	NA	418644	GRM3	1:1	1072893	GRM3
TAEGU08604	XP_012424320	ENSTGUG00000002407	100225470	ENSTGUG00000002407.2	CHICK00495	NP_990704	NA	396332	SEMA3D	1:1	1405233	SEMA3D
TAEGU08611	XP_012424333	ENSTGUG00000002449	100230255	ENSTGUG00000002449.2	CHICK00500	NP_990308	NA	395825	SEMA3A	1:1	1405211	SEMA3A
TAEGU08613	XP_041577320	ENSTGUG00000002487	100219710	ENSTGUG00000002487.2	CHICK00503	NP_989573	NA	374089	SEMA3E	1:1	345660	SEMA3E
TAEGU08619	NA	ENSTGUG00000002518	NA	ENSTGUG00000002518.2	CHICK00505	NP_001383335	NA	395319	PCLO	1:1	1071968	PCLO
TAEGU08655	XP_012424340	ENSTGUG00000002536	100227443	ENSTGUG00000002536.2	CHICK00516	XP_025007186	NA	768444	CACNA2D1	1:1	1413264	CACNA2D1
TAEGU08661	XP_030147213	ENSTGUG00000002584	100218784	ENSTGUG00000002584.2	CHICK00518	NP_001025541	NA	395941	HGF	1:1	1079689	HGF
TAEGU08677	XP_002187763	ENSTGUG00000002604	100224561	ENSTGUG00000002604.2	CHICK00523	NP_989574	NA	374090	SEMA3C	1:1	345797	SEMA3C
TAEGU08681	XP_002187984	ENSTGUG00000002619	100221639	ENSTGUG00000002619.2	CHICK00524	XP_015156690	NA	417730	CD36	1:1	1064778	CD36
TAEGU08683	XP_002188020	ENSTGUG00000002635	100218786	ENSTGUG00000002635.2	CHICK00533	NP_001254740	NA	427851	GNAT3	1:1	765283	GNAT3
TAEGU08685	XP_030147313	ENSTGUG00000002652	100219656	ENSTGUG00000002652.2	CHICK00537	XP_046762885	NA	396368	GNAI1	1:1	765269	GNAI1
TAEGU08705	NA	ENSTGUG00000002672	NA	ENSTGUG00000002672.2	CHICK00539	NP_001383183	NA	417729	MAGI2	1:1	1071323	MAGI2
TAEGU08745	XP_030147336	ENSTGUG00000002692	100226402	ENSTGUG00000002692.2	CHICK00556	XP_015131218	NA	417728	PHTF2	1:1	1315432	PHTF2
TAEGU08747	XP_030147429	ENSTGUG00000023424	100228292	ENSTGUG00000023424.1	CHICK00560	NP_001186406	NA	417727	TMEM60	1:1	1418126	TMEM60
TAEGU08749	NA	ENSTGUG00000002712	NA	ENSTGUG00000002712.2	CHICK00566	XP_015131244	NA	768780	RSBN1L	1:1	1389272	RSBN1L
TAEGU08758	NA	ENSTGUG00000002717	NA	ENSTGUG00000002717.2	CHICK00567	XP_040518040	NA	417725	PTPN12	1:1	1069823	PTPN12
TAEGU08771	XP_030119606	ENSTGUG00000002731	100218730	ENSTGUG00000002731.2	CHICK00570	XP_040518051	NA	417724	GSAP	1:1	796503	GSAP
TAEGU08793	XP_002188021	ENSTGUG00000002746	100228349	ENSTGUG00000002746.2	CHICK00583	NP_001072954	NA	768821	FGL2	1:1	349709	FGL2
TAEGU07931	XP_030119614	ENSTGUG00000002748	100225466	ENSTGUG00000002748.2	CHICK00584	XP_015131254	NA	417722	FAM185A	1:1	770787	FAM185A
TAEGU07935	XP_030119613	ENSTGUG00000023917	100225417	ENSTGUG00000023917.1	CHICK00590	NP_001185529	NA	395440	LRRC17	1:1	1054201	LRRC17
TAEGU07936	NA	ENSTGUG00000002765	NA	ENSTGUG00000002765.2	CHICK00592	XP_040521716	NA	417720	ARMC10	1:1	1056247	ARMC10
TAEGU07938	XP_002188158	ENSTGUG00000002769	100232210	ENSTGUG00000002769.2	CHICK00597	NP_001025901	NA	417719	NAPEPLD	1:1	NA	NAPEPLD
TAEGU07940	NA	ENSTGUG00000023777	NA	ENSTGUG00000023777.1	CHICK00602	XP_015131213	NA	417718	PMPCB	1:1	NA	PMPCB
TAEGU07945	XP_030119610	ENSTGUG00000002792	100230249	ENSTGUG00000002792.2	CHICK00604	NP_001186254	NA	417717	DNAJC2	1:1	1067656	DNAJC2
TAEGU07947	NP_001232055; XP_002188362	ENSTGUG00000002751	100190469	ENSTGUG00000002751.2	CHICK00611	NP_001006225	NA	417716	PSMC2	1:1	1067317	PSMC2
TAEGU07957	XP_030147468	ENSTGUG00000002808	100224557	ENSTGUG00000002808.2	CHICK00613	XP_046763026	NA	417715	SLC26A5	1:1	1013525	SLC26A5
TAEGU07967	XP_012424330	ENSTGUG00000002836	100231258	ENSTGUG00000002836.2	CHICK00622	XP_040557195	NA	427850	RELN	1:1	1350033	RELN
TAEGU07978	XP_004186211	ENSTGUG00000002884	100222523	ENSTGUG00000002884.2	CHICK00628	XP_015131209	NA	417714	ORC5	1:1	1017481	ORC5
TAEGU07982	XP_030119634	ENSTGUG00000002908	100232154	ENSTGUG00000002908.2	CHICK00632	XP_015131255	NA	100858127	LHFPL3	1:1	1362800	LHFPL3
TAEGU07984	XP_030119617	ENSTGUG00000002911	100226399	ENSTGUG00000002911.2	CHICK00635	XP_025009328	NA	417712	KMT2E	1:1	1073273	KMT2E
TAEGU07994	XP_012424334	ENSTGUG00000002940	100232158	ENSTGUG00000002940.2	CHICK00644	XP_025009379	NA	417711	SRPK2	1:1	1067803	SRPK2
TAEGU08004	XP_030147534	ENSTGUG00000002961	100224509	ENSTGUG00000002961.2	CHICK00649	XP_015131203	NA	417709	PUS7	1:1	1409631	PUS7
TAEGU08006	NA	ENSTGUG00000002979	NA	ENSTGUG00000002979.2	CHICK00664	NP_001265046	NA	427848	RINT1	1:1	1421376	RINT1
TAEGU08023	NA	ENSTGUG00000002996	NA	ENSTGUG00000002996.2	CHICK00671	XP_015131265	NA	427847	ATXN7L1	1:1	1048180	ATXN7L1
TAEGU08035	NA	ENSTGUG00000003021	NA	ENSTGUG00000003021.2	CHICK00692	NP_001186387	NA	417708	SYPL1	1:1	1388684	SYPL1
TAEGU08038	NA	ENSTGUG00000003039	NA	ENSTGUG00000003039.2	CHICK00694	XP_015131202	NA	417707	NAMPTP1	1:1	876288	NAMPT
TAEGU08051	XP_002192548	ENSTGUG00000003053	100229232	ENSTGUG00000003053.2	CHICK00696	NP_001186467	NA	417706	PIK3CG	1:1	1371121	PIK3CG
TAEGU08054	NA	ENSTGUG00000025559	NA	ENSTGUG00000025559.1	CHICK00698	XP_015131273	NA	769420	PRKAR2B	1:1	NA	PRKAR2B
TAEGU08058	NA	ENSTGUG00000003100	NA	ENSTGUG00000003100.2	CHICK00699	XP_015131198	NA	417705	HBP1	1:1	1356788	HBP1
TAEGU08059	XP_032599645	ENSTGUG00000003116	100221633	ENSTGUG00000003116.2	CHICK00705	NP_001186374	NA	417704	COG5	1:1	1315387	COG5
TAEGU08067	XP_004177234	ENSTGUG00000003123	100223537	ENSTGUG00000003123.2	CHICK00706	XP_015131275	NA	769379	GPR22	1:1	1311384	GPR22
TAEGU08070	XP_002192992	ENSTGUG00000003124	100217742	ENSTGUG00000003124.2	CHICK00708	XP_001231915	NA	769352	DUS4L	1:1	1412977	DUS4L
TAEGU08071	NA	ENSTGUG00000003129	NA	ENSTGUG00000003129.2	CHICK00710	NP_001091114	NA	417702	BCAP29	1:1	1420282	BCAP29
TAEGU08072	XP_030147811	ENSTGUG00000003133	100231255	ENSTGUG00000003133.2	CHICK00713	XP_040517170	NA	427845	SLC26A4	1:1	1013545	SLC26A4
TAEGU08084	XP_041577525	ENSTGUG00000003181	100225411	ENSTGUG00000003181.2	CHICK00721	NP_001186373	NA	417700	SLC26A3	1:1	1013532	SLC26A3
TAEGU08089	NA	ENSTGUG00000003229	NA	ENSTGUG00000003229.2	CHICK00722	NP_001025898	NA	417699	DLD	1:1	1306941	DLD
TAEGU08101	XP_030147878	ENSTGUG00000003257	100222516	ENSTGUG00000003257.2	CHICK00723	NP_001383406	NA	396478	LAMB1	1:1	1074633	LAMB1
TAEGU08106	NA	ENSTGUG00000023873	NA	ENSTGUG00000023873.1	CHICK00727	XP_040514981	NA	396076	LAMB4	1:1	1070442	LAMB4
TAEGU08117	XP_012424344	ENSTGUG00000003331	100227382	ENSTGUG00000003331.2	CHICK00731	NP_001186332	NA	417697	ERGIC2	1:1	1401635	ERGIC2
TAEGU08161	NA	ENSTGUG00000003353	NA	ENSTGUG00000003353.2	CHICK00740	NP_001274122	NA	427844	LRRK2	1:1	1069249	LRRK2
TAEGU08258	XP_002193935	ENSTGUG00000003415	100224513	ENSTGUG00000003415.2	CHICK00743	XP_001232940	NA	769652	SLC2A13	1:1	1067767	SLC2A13
TAEGU08266	XP_002194027	ENSTGUG00000003429	100221578	ENSTGUG00000003429.2	CHICK00744	NP_001186324	NA	417694	ABCD2	1:1	1067413	ABCD2
TAEGU08282	XP_002194164	ENSTGUG00000003457	100218735	ENSTGUG00000003457.2	CHICK00746	XP_004934816	NA	417692	KIF21A	1:1	NA	KIF21A
TAEGU08362	NA	ENSTGUG00000003596	NA	ENSTGUG00000003596.2	CHICK00749	NP_001186389	NA	417690	CPNE8	1:1	1068882	CPNE8
TAEGU08386	NA	ENSTGUG00000020604	NA	ENSTGUG00000020604.1	CHICK00752	XP_040515062	NA	425906	TPRKB	1:1	904120	TPRKB
TAEGU08388	XP_012424384	ENSTGUG00000003660	100227034	ENSTGUG00000003660.2	CHICK00753	NP_001026503	NA	425204	GTSE1	1:1	1071167	GTSE1
TAEGU08390	XP_030111779	ENSTGUG00000003663	100224137	ENSTGUG00000003663.2	CHICK00755	NP_001026522	NA	425909	TRMU	1:1	1363712	TRMU
TAEGU08456	NA	ENSTGUG00000003678	NA	ENSTGUG00000003678.2	CHICK00757	XP_046765782	NA	426068	CELSR1	1:1	1076973	CELSR1
TAEGU08584	XP_030111796	ENSTGUG00000003733	100227996	ENSTGUG00000003733.2	CHICK00763	XP_040513013	NA	425953	GRAMD4	1:1	1309431	GRAMD4
TAEGU08588	XP_030111847	ENSTGUG00000003773	100225105	ENSTGUG00000003773.2	CHICK00774	NP_001026511	NA	425523	CERK	1:1	945845	CERK
TAEGU08595	XP_002187344	ENSTGUG00000003790	100218421	ENSTGUG00000003790.2	CHICK00775	NP_001026661	NA	428128	TBC1D22A	1:1	1070359	TBC1D22A
TAEGU08607	XP_030119637	ENSTGUG00000003824	100218418	ENSTGUG00000003824.2	CHICK00780	XP_015131299	NA	768638	FAM19A5	1:1	NA	TAFA5
TAEGU08617	XP_030111957	ENSTGUG00000003835	100230898	ENSTGUG00000003835.2	CHICK00782	XP_015157755	NA	417731	BRD1	1:1	1071157	BRD1
TAEGU08624	XP_030112002	ENSTGUG00000024268	100223196	ENSTGUG00000024268.1	CHICK00791	NP_001384172	NA	417734	ZBED4	1:1	773702	ZBED4
TAEGU08632	NA	ENSTGUG00000003862	NA	ENSTGUG00000003862.2	CHICK00795	NP_001034359	NA	417733	ALG12	1:1	1410291	ALG12
TAEGU08643	XP_030112051	ENSTGUG00000003874	100220301	ENSTGUG00000003874.2	CHICK00805	NP_001186426	NA	417735	CRELD2	1:1	1070058	CRELD2
TAEGU08644	XP_030112080	ENSTGUG00000003897	100229885	ENSTGUG00000003897.2	CHICK00806	XP_003640390	NA	768655	PIM3	1:1	1071667	PIM3
TAEGU08645	XP_030112124	ENSTGUG00000003914	101233760	ENSTGUG00000003914.2	CHICK00810	XP_015129182	NA	769256	IL17REL	1:1	1384451	IL17REL
TAEGU08646	XP_002188699	ENSTGUG00000003918	100225170	ENSTGUG00000003918.2	CHICK00814	XP_004937559	NA	417737	MLC1	1:1	1357610	MLC1
TAEGU08656	NA	ENSTGUG00000003947	NA	ENSTGUG00000003947.2	CHICK00818	XP_015128839	NA	417738	MOV10L1	1:1	1070629	MOV10L1
TAEGU08662	XP_002188807	ENSTGUG00000003957	100222269	ENSTGUG00000003957.2	CHICK00820	XP_015128554	NA	426934	PANX2	1:1	1399192	PANX2
TAEGU08667	XP_030112236	ENSTGUG00000003963	100220251	ENSTGUG00000003963.2	CHICK00822	XP_015130055	NA	417746	TRABD	1:1	1370745	TRABD
TAEGU08674	NP_001186712	ENSTGUG00000003976	100229827	ENSTGUG00000003976.2	CHICK00829	NP_001108489	NA	417745	SELENOO	1:1	1372157	SELENOO
TAEGU08680	NA	ENSTGUG00000003993	NA	ENSTGUG00000003993.2	CHICK00831	XP_040514038	NA	769701	TUBGCP6	1:1	815788	TUBGCP6
TAEGU08686	NA	ENSTGUG00000004003	NA	ENSTGUG00000004003.2	CHICK00833	XP_040506794	NA	417742	HDAC10	1:1	1365210	HDAC10
TAEGU08698	XP_030112286	ENSTGUG00000004046	100227993	ENSTGUG00000004046.2	CHICK00841	XP_001233062	NA	769763	MAPK12	1:1	1068884	MAPK12
TAEGU08702	XP_030112297	ENSTGUG00000004078	100225101	ENSTGUG00000004078.2	CHICK00842	NP_001006227	NA	417739	MAPK11	1:1	1067679	MAPK11
TAEGU08703	XP_012424418	ENSTGUG00000004115	100228909	ENSTGUG00000004115.2	CHICK00845	XP_015130710	NA	425938	PLXNB2	1:1	1075555	PLXNB2
TAEGU08716	NA	ENSTGUG00000004194	NA	ENSTGUG00000004194.2	CHICK00874	NP_001186428	NA	417747	ZNF800	1:1	995409	ZNF800
TAEGU08720	XP_012424420	ENSTGUG00000004198	751963	ENSTGUG00000004198.2	CHICK00885	XP_046759774	NA	427853	GRM8	1:1	NA	GRM8
TAEGU08723	XP_012424380	ENSTGUG00000004218	100228967	ENSTGUG00000004218.2	CHICK00887	XP_015136397	NA	404538	POT1	1:1	1403319	POT1
TAEGU08725	XP_030112446	ENSTGUG00000023267	100220249	ENSTGUG00000023267.1	CHICK00893	NP_001075168	NA	417748	GPR37	1:1	1384553	GPR37
TAEGU08730	XP_002190553	ENSTGUG00000004270	100229824	ENSTGUG00000004270.2	CHICK00896	XP_004937577	NA	417749	SPAM1	1:1	984503	SPAM1
TAEGU07933	NA	ENSTGUG00000004276	NA	ENSTGUG00000004276.2	CHICK00900	XP_025003307	NA	417750	WASL	1:1	1068090	WASL
TAEGU07937	XP_030112549	ENSTGUG00000004327	100226014	ENSTGUG00000004327.2	CHICK00902	NP_001186644	NA	417751	LMOD2	1:1	768641	LMOD2
TAEGU07953	NA	ENSTGUG00000004349	NA	ENSTGUG00000004349.2	CHICK00916	XP_004937584	NA	770198	SLC13A1	1:1	NA	SLC13A1
TAEGU07963	XP_030112617	ENSTGUG00000004403	100219335	ENSTGUG00000004403.2	CHICK00918	XP_040505052	NA	417756	CADPS2	1:1	1347872	CADPS2
TAEGU07976	XP_030112783	ENSTGUG00000004488	100221261	ENSTGUG00000004488.2	CHICK00945	XP_003640395	NA	100859279	FEZF1	1:1	1377632	FEZF1
TAEGU07977	XP_030112794	ENSTGUG00000004496	100222251	ENSTGUG00000004496.2	CHICK00946	XP_015137737	NA	417757	AASS	1:1	855997	AASS
TAEGU07988	NA	ENSTGUG00000004543	NA	ENSTGUG00000004543.2	CHICK00954	XP_015136370	NA	396403	PTPRZ1	1:1	1072112	PTPRZ1
TAEGU07997	XP_030112890	ENSTGUG00000004613	100221204	ENSTGUG00000004613.2	CHICK00957	XP_015136457	NA	417758	FAM3C	1:1	1316436	FAM3C
TAEGU08002	XP_030112877	ENSTGUG00000025350	100218349	ENSTGUG00000025350.1	CHICK00958	XP_001233678	NA	427856	WNT16	1:1	1360470	WNT16
TAEGU08003	XP_030112907	ENSTGUG00000004646	100225093	ENSTGUG00000004646.2	CHICK00961	XP_004937588	NA	417761	CPED1	1:1	1413143	CPED1
TAEGU08008	XP_030112948	ENSTGUG00000004655	100222182	ENSTGUG00000004655.2	CHICK00965	XP_015136471	NA	417762	ING3	1:1	1067826	ING3
TAEGU08018	XP_030113038	ENSTGUG00000004668	100220256	ENSTGUG00000004668.2	CHICK00969	NP_001007850	NA	417763	TSPAN12	1:1	1372879	TSPAN12
TAEGU08073	XP_002192520	ENSTGUG00000004691	100232741	ENSTGUG00000004691.2	CHICK00974	NP_989610	NA	374143	KCND2	1:1	1071590	KCND2
TAEGU08081	XP_002189792	ENSTGUG00000028972	100230262	ENSTGUG00000028972.1	CHICK00979	NP_001383196	NA	417765	LSM8	1:1	1389702	LSM8
TAEGU08100	NA	ENSTGUG00000004732	NA	ENSTGUG00000004732.2	CHICK00980	NP_001092009	NA	417766	CTTNBP2	1:1	1403176	CTTNBP2
TAEGU08112	XP_030113157	ENSTGUG00000004828	100222243	ENSTGUG00000004828.2	CHICK00983	XP_015131458	NA	100049619	CFTR	1:1	1085019	CFTR
TAEGU08123	XP_002192916	ENSTGUG00000004962	100224138	ENSTGUG00000004962.2	CHICK00990	XP_040547072	NA	417768	ASZ1	1:1	1069725	ASZ1
TAEGU08125	XP_002192993	ENSTGUG00000005016	100221216	ENSTGUG00000005016.2	CHICK00995	XP_040516236	NA	417769	WNT2	1:1	1360492	WNT2
TAEGU08132	XP_030113167	ENSTGUG00000005050	100218366	ENSTGUG00000005050.2	CHICK00998	NP_001099142	NA	417770	ST7	1:1	1418950	ST7
TAEGU08138	NA	ENSTGUG00000021964	NA	ENSTGUG00000021964.1	CHICK01006	NP_001004380	NA	417771	CAPZA2	1:1	1324983	CAPZA2
